Label,Title,Artist,Album,Genre,Year,Format,Notes
OZ Records (2) (OZ-876),I'm A Punk,The Rude Band,I'm A Punk,"Rock, Reggae",1982,"Vinyl (7"", 45 RPM)",
OZ Records (2) (OZ-876),Doug's Dub,The Rude Band,I'm A Punk,"Rock, Reggae",1982,"Vinyl (7"", 45 RPM)",
Raw Prawn (K-9998),You Are Soul,"Doug Mulray, The Rude Band",You Are Soul,Pop,1986,"Vinyl (7"", 45 RPM, Single)",Raw Prawn
Raw Prawn (K-9998),Smoke Two Joints,"Doug Mulray, The Rude Band",You Are Soul,Pop,1986,"Vinyl (7"", 45 RPM, Single)",Raw Prawn
CBS (BA 222787),Antmusic,Adam And The Ants,Antmusic,Rock,1980,"Vinyl (7"", 45 RPM, Single)",
CBS (BA 222787),Fall-In,Adam And The Ants,Antmusic,Rock,1980,"Vinyl (7"", 45 RPM, Single)",
Decca (F.12000),Google Eye,The Nashville Teens,Google Eye,Blues,1964,"Vinyl (7"", 45 RPM, Single)",
Decca (F.12000),T.N.T.,The Nashville Teens,Google Eye,Blues,1964,"Vinyl (7"", 45 RPM, Single)",
Monument (PK-2900),Gitarzan,Ray Stevens,Gitarzan,Pop,1969,"Vinyl (7"", 45 RPM, Single)",
Monument (PK-2900),Bagpipes - That's My Bag,Ray Stevens,Gitarzan,Pop,1969,"Vinyl (7"", 45 RPM, Single)",
Top Rank International (TRK-169),The Wanderer,Dion (3),The Wanderer / The Majestic,Rock,1961,"Vinyl (7"", 45 RPM, Single)",
Top Rank International (TRK-169),The Majestic,Dion (3),The Wanderer / The Majestic,Rock,1961,"Vinyl (7"", 45 RPM, Single)",
CBS (BA-221671),A Boy Named Sue,Johnny Cash,A Boy Named Sue,"Folk, World, & Country",1969,"Vinyl (7"", 45 RPM)",
CBS (BA-221671),San Quentin,Johnny Cash,A Boy Named Sue,"Folk, World, & Country",1969,"Vinyl (7"", 45 RPM)",
Big Time (ZBZS-330),All Out Of Love,Air Supply,All Out Of Love,Pop,1980,"Vinyl (7"", Single, 45 RPM)",
Big Time (ZBZS-330),Old Habits Die Hard,Air Supply,All Out Of Love,Pop,1980,"Vinyl (7"", Single, 45 RPM)",
Bootleg (BL-138),Ginger Man,Brian Cadd,Ginger Man,"Rock, Pop, Folk, World, & Country",1972,"Vinyl (7"", 45 RPM, Single)",
Bootleg (BL-138),Fairweather Friend,Brian Cadd,Ginger Man,"Rock, Pop, Folk, World, & Country",1972,"Vinyl (7"", 45 RPM, Single)",
Astor (AP-1369),Waterloo Sunset,The Kinks,Waterloo Sunset,"Rock, Pop",1967,"Vinyl (7"", 45 RPM, Single)",
Astor (AP-1369),Act Nice And Gentle,The Kinks,Waterloo Sunset,"Rock, Pop",1967,"Vinyl (7"", 45 RPM, Single)",
Parkway (PY-704),Lazy Elsie Molly,Chubby Checker,Lazy Elsie Molly / Rosie,Rock,1964,"Vinyl (7"", 45 RPM, Single)",
Parkway (PY-704),Rosie,Chubby Checker,Lazy Elsie Molly / Rosie,Rock,1964,"Vinyl (7"", 45 RPM, Single)",
Cricket (2) (BB-91),Popeye On Parade,Captain Paul And The Seafaring Band,Popeye On Parade,Children's,0,"Vinyl (7"", 45 RPM)",
Cricket (2) (BB-91),Strike Me Pink Do I See Red,Captain Paul And The Seafaring Band,Popeye On Parade,Children's,0,"Vinyl (7"", 45 RPM)",
Decca (Y-9971),Sea Side Shuffle,Terry Dactyl And The Dinosaurs,Sea Side Shuffle / Ball And Chain,Rock,1972,"Vinyl (7"", Single, 45 RPM)",
Decca (Y-9971),Ball And Chain,Terry Dactyl And The Dinosaurs,Sea Side Shuffle / Ball And Chain,Rock,1972,"Vinyl (7"", Single, 45 RPM)",
Capitol Records (CP-8905),I'll Never Fall In Love Again,Bobbie Gentry,I'll Never Fall In Love Again / You've Made Me So Very Happy,"Pop, Folk, World, & Country",1969,"Vinyl (7"", 45 RPM, Single)",
Capitol Records (CP-8905),You've Made Me So Very Happy,Bobbie Gentry,I'll Never Fall In Love Again / You've Made Me So Very Happy,"Pop, Folk, World, & Country",1969,"Vinyl (7"", 45 RPM, Single)",
CBS (BA-221897),Sylvia's Mother,Dr. Hook & The Medicine Show,Sylvia's Mother / Makin' It Natural,Rock,1972,"Vinyl (7"", 45 RPM, Single)",
CBS (BA-221897),Makin' It Natural,Dr. Hook & The Medicine Show,Sylvia's Mother / Makin' It Natural,Rock,1972,"Vinyl (7"", 45 RPM, Single)",
Columbia (DO-4219),The Frightened City,The Shadows,The Frightened City,Rock,1961,"Vinyl (7"", 45 RPM, Single)",
Columbia (DO-4219),Back Home,The Shadows,The Frightened City,Rock,1961,"Vinyl (7"", 45 RPM, Single)",
Capitol Records (CP-9953),I Am Woman,Helen Reddy,I Am Woman,Pop,1972,"Vinyl (7"", 45 RPM, Single)",
Capitol Records (CP-9953),More Than You Could Take,Helen Reddy,I Am Woman,Pop,1972,"Vinyl (7"", 45 RPM, Single)",
Astor (A-7081),Living In A Child's Dream,The Master's Apprentices,Living In A Child's Dream,Rock,1967,"Vinyl (7"", 45 RPM, Single)",
Astor (A-7081),Tired Of Just Wandering,The Master's Apprentices,Living In A Child's Dream,Rock,1967,"Vinyl (7"", 45 RPM, Single)",
Fable (FB-011),Melanie Makes Me Smile,The Strangers (14),Melanie Makes Me Smile,"Rock, Pop",1970,"Vinyl (7"", 45 RPM, Single)",
Fable (FB-011),If You Think You're Groovy,The Strangers (14),Melanie Makes Me Smile,"Rock, Pop",1970,"Vinyl (7"", 45 RPM, Single)",
Bell Records (BELL 1258),How Can I Be Sure,David Cassidy,How Can I Be Sure,Pop,1972,"Vinyl (7"", 45 RPM, Single)",
Bell Records (BELL 1258),Ricky's Tune,David Cassidy,How Can I Be Sure,Pop,1972,"Vinyl (7"", 45 RPM, Single)",
Capitol Records (CP-9400),I Don't Know How To Love Him,Helen Reddy,I Don't Know How To Love Him,"Rock, Pop, Folk, World, & Country",1971,"Vinyl (7"", 45 RPM, Single)",
